name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region
L7ST5	-54.1236	-45.2373	9.54650518557362	-999	L7ST	L	depth	-51.7114	-44.8556	16.1223	Left MTG middle temporal gyrus	bankssts	n/a
L7ST6	-57.2931	-45.6414	9.02931955549078	-999	L7ST	L	depth	-54.6185	-44.9383	17.1076	Left MTG middle temporal gyrus	bankssts	n/a
L7ST7	-61.7583	-45.1108	8.63743217661009	-999	L7ST	L	depth	-59.0495	-44.178	17.9629	Left SMG supramarginal gyrus	bankssts	n/a
L7ST8	-64.5347	-45.0812	10.8658420067636	-999	L7ST	L	depth	-61.9568	-44.2607	18.9483	Left SMG supramarginal gyrus	superiortemporal	n/a
L3ST1	-41.3932	-34.8746	-3.48549157675117	-999	L3ST	L	depth	-39.9544	-34.4586	-1.186	Left Cerebral White Matter	superiortemporal	n/a
L3ST2	-42.7572	-34.6386	-3.6521376638101	-999	L3ST	L	depth	-41.8923	-34.5829	-1.21348	Left Cerebral White Matter	bankssts	n/a
L3ST3	-46.1071	-32.2325	-0.274883214778348	-999	L3ST	L	depth	-45.839	-33.7953	-0.42878	Left Cerebral White Matter	bankssts	n/a
L3ST4	-50.4765	-31.2762	0.48271610566974	-999	L3ST	L	depth	-48.8162	-33.0451	-0.571726	Left Cerebral White Matter	superiortemporal	n/a
L3ST5	-54.9325	-32.1361	-0.67025876276837	-999	L3ST	L	depth	-52.6919	-33.2938	-0.62664	Left STG superior temporal gyrus	superiortemporal	n/a
L3ST6	-58.4495	-32.2076	-2.1487165573452	-999	L3ST	L	depth	-55.6691	-32.5434	-0.769591	Left STG superior temporal gyrus	superiortemporal	n/a
L3ST7	-63.7704	-31.9882	-4.93095908444709	-999	L3ST	L	depth	-60.0998	-31.8865	-0.933141	Left MTG middle temporal gyrus	middletemporal	n/a
L3ST8	-67.1158	-32.2576	-5.77987726390804	-999	L3ST	L	depth	-63.0066	-32.0729	-0.974326	Left MTG middle temporal gyrus	middletemporal	n/a
L1MT1	-39.876	-48.1545	-10.7943071310156	-999	L1MT	L	depth	-40.2172	-44.0866	-2.06476	Left Cerebral White Matter	inferiortemporal	n/a
L1MT2	-42.2628	-47.5176	-12.0350575945219	-999	L1MT	L	depth	-43.1945	-43.3363	-2.20771	Left Cerebral White Matter	inferiortemporal	n/a
L1MT3	-45.0879	-46.136	-12.1503768435758	-999	L1MT	L	depth	-46.1718	-42.5861	-2.35067	Left Cerebral White Matter	inferiortemporal	n/a
L1MT4	-48.2504	-44.0964	-10.2584100124982	-999	L1MT	L	depth	-49.079	-42.673	-1.4505	Left Cerebral White Matter	bankssts	n/a
L1MT5	-53.0288	-43.0866	-10.1813031672165	-999	L1MT	L	depth	-53.0252	-41.985	-1.60716	Left Cerebral White Matter	bankssts	n/a
L1MT6	-57.5336	-42.6364	-9.48641714096145	-999	L1MT	L	depth	-56.4868	-41.2658	-1.75699	Left Cerebral White Matter	middletemporal	n/a
L1MT7	-62.2478	-41.6818	-9.05245750618869	-999	L1MT	L	depth	-59.4642	-40.5155	-1.89994	Left MTG middle temporal gyrus	middletemporal	n/a
L1MT8	-68.7419	-41.5119	-9.01787575378949	-999	L1MT	L	depth	-63.4103	-39.8275	-2.05662	Left MTG middle temporal gyrus	middletemporal	n/a
L3AG1	-34.7863	-50.8008	25.4832632313161	-999	L3AG	L	depth	-33.2606	-50.0	24.4272	Left Cerebral White Matter	inferiorparietal	n/a
L3AG2	-36.9369	-51.6501	25.63174410261	-999	L3AG	L	depth	-35.6124	-51.092	24.4958	Left Cerebral White Matter	inferiorparietal	n/a
L3AG3	-40.1426	-53.5128	25.8191490219054	-999	L3AG	L	depth	-38.3781	-53.1515	24.6638	Left Cerebral White Matter	inferiorparietal	n/a
L3AG4	-44.6333	-56.2404	24.6118893616276	-999	L3AG	L	depth	-42.1127	-55.2734	24.8165	Left Cerebral White Matter	inferiorparietal	n/a
L3AG5	-47.511	-57.9194	23.2229713643163	-999	L3AG	L	depth	-44.9489	-56.3965	24.8774	Left Cerebral White Matter	inferiorparietal	n/a
L3AG6	-50.3856	-60.1135	22.1005992295155	-999	L3AG	L	depth	-47.7146	-58.456	25.0455	Left Cerebral White Matter	inferiorparietal	n/a
L3AG7	-53.0233	-61.3094	21.6996376268396	-999	L3AG	L	depth	-50.5508	-59.5793	25.1065	Left AnG angular gyrus	inferiorparietal	n/a
L3AG8	-55.8882	-63.3699	21.8906840407071	-999	L3AG	L	depth	-53.3165	-61.6388	25.2745	Left AnG angular gyrus	inferiorparietal	n/a
L1AG1	-38.7616	-51.0638	-3.71523200991423	-999	L1AG	L	depth	-37.9643	-47.6766	3.19786	Left Cerebral White Matter	inferiortemporal	n/a
L1AG2	-40.2524	-53.0218	-2.91590461203185	-999	L1AG	L	depth	-39.7616	-49.5701	4.41245	Left Cerebral White Matter	lateraloccipital	n/a
L1AG3	-42.5283	-55.8691	-4.98083070413917	-999	L1AG	L	depth	-43.4961	-51.6918	4.56512	Left Cerebral White Matter	middletemporal	n/a
L1AG4	-44.7512	-55.9474	-3.5514665156948	-999	L1AG	L	depth	-46.3328	-52.711	5.65739	Left Cerebral White Matter	middletemporal	n/a
L1AG5	-47.8203	-57.7285	-2.46815380484681	-999	L1AG	L	depth	-49.0985	-54.7706	5.82539	Left Cerebral White Matter	middletemporal	n/a
L1AG6	-52.5003	-59.0053	1.12417806838058	-999	L1AG	L	depth	-51.8645	-56.7262	7.02466	Left MTG middle temporal gyrus	middletemporal	n/a
L1AG7	-56.8683	-59.2664	3.04974718117249	-999	L1AG	L	depth	-55.1858	-57.7764	8.10924	Left MTG middle temporal gyrus	middletemporal	n/a
L1AG8	-60.6384	-61.5867	3.36613294159787	-999	L1AG	L	depth	-57.9514	-59.8361	8.27725	Left MTG middle temporal gyrus	middletemporal	n/a
LE1	-26.4849	-19.2488	-28.2360947908068	-999	LE	L	depth	-25.6678	-25.6487	-20.8692	n/a	fusiform	n/a
LE2	-29.6916	-19.901	-29.339548247728	-999	LE	L	depth	-28.5746	-25.8352	-20.9104	Left FuG fusiform gyrus	fusiform	n/a
LE3	-33.7534	-21.3434	-29.1798708588514	-999	LE	L	depth	-32.4506	-25.9843	-20.0239	Left FuG fusiform gyrus	fusiform	n/a
LE4	-36.8436	-21.8054	-30.7082079932535	-999	LE	L	depth	-35.4279	-25.234	-20.1669	Left FuG fusiform gyrus	inferiortemporal	BA36
LE5	-41.4186	-23.605	-30.0439623174817	-999	LE	L	depth	-39.7884	-25.4143	-19.2873	Left FuG fusiform gyrus	inferiortemporal	BA36
LE6	-44.118	-23.9223	-28.6154471565719	-999	LE	L	depth	-42.6952	-25.6008	-19.3284	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LE7	-47.609	-23.6146	-25.1596396953082	-999	LE	L	depth	-46.5714	-25.7499	-18.442	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LE8	-51.3467	-22.0834	-24.4128409309342	-999	LE	L	depth	-49.5485	-24.9996	-18.585	Left Cerebral White Matter	inferiortemporal	n/a
LE9	-56.2335	-22.0144	-23.9241939417943	-999	LE	L	depth	-53.4243	-25.2483	-18.6399	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LE10	-59.6547	-22.3367	-22.60928190796	-999	LE	L	depth	-56.3315	-25.3352	-17.7397	Left ITG inferior temporal gyrus	middletemporal	n/a
LE11	-65.1747	-23.4802	-22.7390294522537	-999	LE	L	depth	-60.6915	-25.615	-17.8015	Left MTG middle temporal gyrus	middletemporal	n/a
LE12	-67.9149	-24.7719	-23.6273481984005	-999	LE	L	depth	-63.5983	-25.8014	-17.8426	Left MTG middle temporal gyrus	middletemporal	n/a
LY1	-40.0111	-13.7511	-25.1818067752486	-999	LY	L	depth	-39.3856	-17.4609	-16.3223	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LY2	-41.682	-14.408	-25.8684731076287	-999	LY	L	depth	-41.3234	-17.5852	-16.3498	Left Cerebral White Matter	inferiortemporal	n/a
LY3	-44.8988	-15.2392	-26.0517893798812	-999	LY	L	depth	-45.1991	-17.8338	-16.4046	Left ITG inferior temporal gyrus	inferiortemporal	n/a
LY4	-49.4113	-15.6469	-25.62202859714	-999	LY	L	depth	-49.0743	-18.1818	-17.4009	Left Cerebral White Matter	middletemporal	n/a
LY5	-53.5369	-15.8431	-23.9409874317352	-999	LY	L	depth	-51.981	-18.3682	-17.4421	Left Cerebral White Matter	middletemporal	n/a
LY6	-57.5432	-15.3227	-24.7224628997865	-999	LY	L	depth	-54.9579	-17.7175	-18.5264	Left MTG middle temporal gyrus	middletemporal	n/a
LY7	-62.8255	-15.8252	-23.1698895913597	-999	LY	L	depth	-59.3179	-17.9971	-18.5881	Left Cerebral White Matter	middletemporal	n/a
LY8	-65.8149	-16.6386	-23.2030066908572	-999	LY	L	depth	-62.2247	-18.1836	-18.6294	Left MTG middle temporal gyrus	middletemporal	n/a
LX1	-39.7443	-7.72958	-38.1259203957633	-999	LX	L	depth	-40.916	-10.6261	-22.7983	Left Cerebral White Matter	middletemporal	n/a
LX2	-41.791	-7.19176	-37.3154591317936	-999	LX	L	depth	-42.9248	-9.71425	-21.9862	Left Cerebral White Matter	middletemporal	n/a
LX3	-45.9748	-4.47629	-34.8825237785135	-999	LX	L	depth	-46.0089	-7.36009	-20.3991	Left Cerebral White Matter	middletemporal	n/a
LX4	-49.3337	-2.4431	-30.7213299050851	-999	LX	L	depth	-48.987	-6.41097	-18.6593	Left PP planum polare	middletemporal	n/a
LX5	-52.9809	-0.704301	-27.9795006671467	-999	LX	L	depth	-51.9647	-5.5613	-17.8609	Left STG superior temporal gyrus	superiortemporal	n/a
LX6	-57.419	0.247737	-24.3495339173368	-999	LX	L	depth	-54.9428	-4.61219	-16.1212	Left Cerebral White Matter	superiortemporal	n/a
LX7	-61.7629	0.182881	-22.9901804825034	-999	LX	L	depth	-57.9206	-3.76251	-15.3227	Left MTG middle temporal gyrus	superiortemporal	n/a
LX8	-64.1438	0.164643	-21.8723740327248	-999	LX	L	depth	-60.4139	-2.88171	-14.5174	Left MTG middle temporal gyrus	superiortemporal	n/a
LJ1	-33.8648	-3.32759	-32.3084964151655	-999	LJ	L	depth	-36.8755	-5.63413	-18.4877	Left Cerebral White Matter	inferiortemporal	n/a
LJ2	-36.9836	-4.22604	-21.5734179743644	-999	LJ	L	depth	-36.6301	-8.61423	-15.3074	Left PIns posterior insula	middletemporal	n/a
LJ3	-36.3502	-5.85989	-15.7836324021382	-999	LJ	L	depth	-35.521	-10.2266	-13.2074	Left Cerebral White Matter	middletemporal	n/a
LJ4	-35.6512	-8.16196	-12.1616471377584	-999	LJ	L	depth	-34.4119	-11.8389	-11.1074	Left Cerebral White Matter	superiortemporal	n/a
LJ5	-35.8521	-11.6037	-8.17065496227175	-999	LJ	L	depth	-34.2017	-14.3507	-7.97802	Left Cerebral White Matter	superiortemporal	n/a
LJ6	-34.7205	-15.0586	-4.58935675298635	-999	LJ	L	depth	-33.0226	-16.8003	-4.83486	Left Cerebral White Matter	superiortemporal	n/a
LJ7	-33.5164	-17.0724	-2.99498448621421	-999	LJ	L	depth	-31.9131	-18.5122	-3.67622	Left Cerebral White Matter	superiortemporal	n/a
LJ8	-33.4327	-18.4045	1.3549292749256	-999	LJ	L	depth	-31.7735	-20.0872	-0.648571	Left Cerebral White Matter	superiortemporal	n/a
LJ9	-31.9784	-20.4947	5.28971040467477	-999	LJ	L	depth	-30.5943	-22.5303	2.62442	Left Cerebral White Matter	insula	n/a
LJ10	-30.5321	-22.2803	7.69064034469448	-999	LJ	L	depth	-29.4852	-24.1331	4.9162	Left Cerebral White Matter	insula	n/a
LJ11	-30.0833	-25.856	9.96681360614509	-999	LJ	L	depth	-29.2393	-27.2028	7.35322	Left Cerebral White Matter	insula	n/a
LJ12	-29.041	-27.9062	12.1900712657517	-999	LJ	L	depth	-28.1303	-28.8055	9.64511	Left Cerebral White Matter	insula	n/a
LJ13	-28.3073	-30.9306	15.5188473795598	-999	LJ	L	depth	-26.9511	-31.2408	13.0752	Left Cerebral White Matter	insula	n/a
LJ14	-28.5323	-31.6807	17.5913143791022	-999	LJ	L	depth	-26.8815	-31.9693	15.2447	Left Cerebral White Matter	insula	n/a
LJ15	-27.3387	-35.2129	21.4672237825257	-999	LJ	L	depth	-25.7024	-34.4046	18.6748	Left Cerebral White Matter	insula	n/a
LJ16	-26.7584	-38.4718	25.1423638863632	-999	LJ	L	depth	-25.4921	-36.9021	22.0896	Left Cerebral White Matter	insula	n/a
LK1	-32.5865	6.38491	-32.7211065963257	-999	LK	L	depth	-35.7131	4.69442	-20.5211	Left Cerebral White Matter	temporalpole	n/a
LK2	-31.7737	8.41181	-23.6470596072092	-999	LK	L	depth	-34.816	5.99156	-17.7851	Left Cerebral White Matter	temporalpole	n/a
LK3	-30.2938	10.4385	-17.2471928312644	-999	LK	L	depth	-33.9191	7.28869	-15.049	Left AIns anterior insula	temporalpole	n/a
LK4	-30.8472	10.864	-12.6958863080238	-999	LK	L	depth	-33.0225	8.68527	-11.3716	Left Cerebral White Matter	superiortemporal	n/a
LK5	-30.2212	11.8551	-11.2218207188083	-999	LK	L	depth	-32.125	9.883	-9.57688	Left Cerebral White Matter	superiortemporal	n/a
LK6	-28.7143	12.7799	-8.80930084673605	-999	LK	L	depth	-30.2591	11.2423	-6.82708	Left Cerebral White Matter	superiortemporal	n/a
LK7	-28.1775	13.7995	-6.5159415417881	-999	LK	L	depth	-29.362	12.5394	-4.09108	Left Putamen	superiortemporal	n/a
LK8	-27.9251	15.2554	-4.28371420384304	-999	LK	L	depth	-28.465	13.8366	-1.35498	Left Cerebral White Matter	insula	n/a
LK9	-28.4618	18.5063	-2.72101318890081	-999	LK	L	depth	-27.6738	16.5486	1.42379	Left Cerebral White Matter	insula	n/a
LK10	-27.011	19.5604	2.15167271927251	-999	LK	L	depth	-25.8084	18.0252	5.47254	Left Cerebral White Matter	insula	n/a
LK11	-26.2088	21.0438	5.07827871112065	-999	LK	L	depth	-24.9819	20.2721	8.36777	Left Cerebral White Matter	insula	n/a
LK12	-25.4082	22.1046	8.53152014502476	-999	LK	L	depth	-24.0848	21.5827	11.3698	Left Cerebral White Matter	insula	n/a
LK13	-24.4798	23.4833	11.9198328172566	-999	LK	L	depth	-23.1878	22.8931	14.372	Left Cerebral White Matter	insula	n/a
LK14	-22.4803	26.0633	16.3116415269535	-999	LK	L	depth	-21.3929	25.3061	18.3137	Left Cerebral White Matter	rostralmiddlefrontal	n/a
LK15	-21.5993	27.3894	18.4731562024562	-999	LK	L	depth	-20.4954	26.5127	20.2846	Left Cerebral White Matter	rostralmiddlefrontal	n/a
LK16	-21.1739	29.6027	22.7809392785931	-999	LK	L	depth	-19.5988	27.927	24.3181	Left Cerebral White Matter	rostralmiddlefrontal	n/a
